SampleID	Mean_Coverage	Contamination_Estimation	Percent_Chimeric_Reads	Median_Insert_Size	Standard_Deviation_Insert_Size	Percent_lt_30bp_frags
Sample-426	28.812	0.00000	0.006457	411	106.171	0.1645624
Sample-427	31.173	0.00000	0.008112	392	100.009	0.0525785
Sample-428	31.730	0.00000	0.008035	414	 64.177	0.0033331
Sample-429	30.651	0.00000	0.006016	388	101.766	0.0570238
Sample-430	33.434	0.00000	0.007744	414	 61.896	0.0037279
Sample-431	26.634	0.00000	0.005675	422	 86.088	0.0033929
Sample-432	32.838	0.00031	0.003944	403	122.584	4.9522620
Sample-433	31.096	0.00008	0.006063	382	 98.188	0.0558503
Sample-434	30.494	0.00000	0.008441	408	100.671	0.0381230
Sample-435	29.630	0.00000	0.007088	394	 60.654	0.0034758
Sample-436	28.186	0.00000	0.007210	414	103.816	0.0416206
Sample-437	28.496	0.00000	0.005707	417	 95.692	0.0256497
Sample-438	32.289	0.00000	0.006836	409	 94.418	0.0360339
Sample-439	33.184	0.01483	0.006317	399	112.196	0.0635570
Sample-440	37.597	0.00000	0.007408	427	104.175	0.0419685
Sample-441	39.238	0.00014	0.007541	393	 72.308	0.0040245
Sample-442	34.215	0.00000	0.007713	415	 76.664	0.0036964
Sample-443	43.317	0.00000	0.009915	428	 95.620	0.0409333
Sample-444	36.855	0.00000	0.006412	406	 83.874	0.0104994
Sample-445	25.716	0.00000	0.005914	389	110.584	0.0879443
Sample-446	28.981	0.00000	0.010893	393	 87.848	0.0146142
Sample-447	29.640	0.00000	0.005165	296	111.823	0.0598358
Sample-448	24.798	0.00000	0.021764	426	122.185	1.6666036
Sample-449	32.476	0.00000	0.014120	412	104.760	0.0665451
Sample-450	29.001	0.00000	0.007465	431	105.955	0.0596043
Sample-451	29.969	0.00000	0.004513	384	106.403	0.0550452
Sample-452	25.990	0.00000	0.007026	396	110.590	0.0651915
Sample-453	31.867	0.00000	0.007038	390	 75.459	0.0051568
Sample-454	35.229	0.00000	0.006222	417	 79.654	0.0039868
Sample-455	36.188	0.00000	0.011214	441	 74.241	0.0058131
Sample-456	33.489	0.00000	0.006308	392	 91.914	0.0311856
Sample-457	30.443	0.00000	0.007424	428	 83.905	0.0039338
Sample-458	31.659	0.00000	0.005110	386	101.879	0.0602327
Sample-459	28.843	0.00000	0.007396	397	104.387	0.0757935
Sample-460	31.205	0.00000	0.007322	404	 81.906	0.0039197
Sample-461	60.141	0.00000	0.006889	400	108.398	0.0778518
Sample-462	31.461	0.00000	0.006493	412	 92.850	0.0355261
Sample-463	54.572	0.00000	0.006141	394	108.159	0.0551260
Sample-464	29.694	0.00000	0.008091	402	 97.535	0.0394369
Sample-465	36.457	0.00000	0.006761	405	 99.545	0.0578908
Sample-466	34.061	0.00000	0.007295	397	 90.185	0.0272923
Sample-467	31.832	0.00000	0.007398	419	100.552	0.0481747
Sample-468	31.166	0.00000	0.005243	363	112.340	0.0917988
Sample-469	33.939	0.00000	0.005935	419	 97.056	0.0202467
Sample-470	30.436	0.00000	0.007558	398	 75.927	0.0049210
Sample-471	61.107	0.00000	0.007698	404	105.695	0.0549137
Sample-472	31.248	0.00000	0.007640	408	 98.621	0.0369060
Sample-473	29.466	0.00000	0.012128	413	109.847	0.0492658
Sample-474	32.530	0.00000	0.009618	408	 96.558	0.0508530
Sample-475	31.025	0.00000	0.007178	419	105.175	0.0633952
Sample-476	29.549	0.00000	0.007429	419	114.309	0.0613616
Sample-477	29.349	0.00000	0.007203	408	 71.236	0.0044560
Sample-478	56.467	0.00000	0.007024	409	 86.832	0.0053067
Sample-479	30.122	0.00000	0.005169	416	113.535	0.0500135
Sample-480	29.700	0.00000	0.006638	398	105.168	0.0603864
Sample-481	30.512	0.00000	0.007731	421	 81.312	0.0043074
Sample-482	58.253	0.00000	0.010046	423	 95.995	0.0191727
Sample-483	29.109	0.00000	0.008239	401	 91.068	0.0230154
Sample-484	30.996	0.00000	0.008142	409	111.413	0.0625661
Sample-485	60.246	0.00027	0.008927	414	 77.225	0.0038816
Sample-486	30.564	0.00000	0.006064	402	107.340	0.0490994
Sample-487	30.926	0.00000	0.008556	430	 92.249	0.0145308
Sample-488	27.911	0.00000	0.008823	403	 93.035	0.0285218
Sample-489	32.546	0.00000	0.010776	408	 70.870	0.0035358
Sample-490	34.364	0.00000	0.006938	387	 92.117	0.0466276
Sample-491	28.369	0.00000	0.005977	402	100.321	0.0436115
Sample-492	28.743	0.00000	0.006374	320	115.496	0.0582911
Sample-493	31.796	0.00000	0.005449	402	106.059	0.0475194
Sample-494	30.936	0.00000	0.005683	402	101.840	0.0492560
Sample-495	30.154	0.00000	0.006961	406	 62.142	0.0034246
Sample-496	31.542	0.00000	0.005937	423	 87.716	0.0082415
Sample-497	30.149	0.00000	0.008570	410	 70.705	0.0041309
Sample-498	31.923	0.00000	0.007933	372	114.708	0.0828016
Sample-499	34.883	0.00000	0.006909	416	 80.715	0.0044920
Sample-500	27.822	0.00000	0.005548	311	114.677	0.0576653
Sample-501	28.453	0.00000	0.009055	404	 77.950	0.0043026
Sample-502	30.098	0.00000	0.008080	415	 65.982	0.0034950
Sample-503	32.607	0.00000	0.007887	408	 78.999	0.0044027
Sample-504	30.141	0.00000	0.005590	302	113.528	0.0672384
Sample-505	31.475	0.00000	0.007133	402	101.451	0.0591700
Sample-506	30.628	0.00000	0.004726	341	111.963	0.0529100
Sample-507	26.684	0.00000	0.005520	405	 86.824	0.0061548
Sample-508	30.319	0.00000	0.007133	341	110.088	0.0836797
Sample-509	28.996	0.00000	0.010348	400	 70.001	0.0040940
Sample-510	31.226	0.00000	0.008593	409	107.888	0.0552968
Sample-511	30.858	0.00000	0.005404	400	106.773	0.0536525
Sample-512	35.258	0.00000	0.005940	405	 97.893	0.0445893
Sample-513	30.805	0.00000	0.006752	425	101.990	0.0353051
Sample-514	30.206	0.00000	0.006036	391	 97.588	0.0629645
Sample-515	31.646	0.00000	0.005850	419	 60.536	0.0030027
Sample-516	34.079	0.00000	0.004409	399	101.465	0.0416140
Sample-517	34.340	0.00000	0.004180	359	110.383	0.0589838
Sample-518	31.257	0.00000	0.004656	423	 86.448	0.0031001
Sample-519	36.594	0.00000	0.006239	415	 67.667	0.0029150
Sample-520	31.783	0.00000	0.005796	420	 99.213	0.0334225
Sample-521	30.815	0.00000	0.004342	406	131.336	1.3667895
Sample-522	32.466	0.00000	0.004982	412	 79.377	0.0027479
Sample-523	29.315	0.00000	0.003798	294	113.521	0.0973994
Sample-524	30.721	0.00000	0.004072	390	 91.494	0.0295945
Sample-525	28.512	0.00000	0.005060	316	114.302	0.0587304
Sample-526	30.179	0.00000	0.005309	388	 99.899	0.0524748
Sample-527	28.161	0.00000	0.006995	400	103.689	0.0589134
Sample-528	35.097	0.00000	0.007942	426	 73.061	0.0050924
Sample-529	29.109	0.00000	0.006832	321	111.321	0.0589606
Sample-530	29.570	0.00003	0.007514	392	114.038	0.0521881
Sample-531	30.581	0.00000	0.007116	395	102.331	0.0518194
Sample-532	30.706	0.00000	0.005837	402	102.674	0.0465651
Sample-533	29.443	0.00000	0.006223	441	103.350	0.0379416
Sample-534	30.977	0.00000	0.004490	440	 81.352	0.0032819
Sample-535	32.961	0.00000	0.008608	400	 79.132	0.0032185
Sample-536	31.547	0.00000	0.005707	285	110.424	0.0622071
Sample-537	31.446	0.00000	0.005658	392	106.756	0.0525894
Sample-538	32.065	0.00000	0.006414	399	113.279	0.0548775
Sample-539	32.401	0.00000	0.005665	427	101.815	0.0364560
Sample-540	32.316	0.00000	0.007353	407	 92.424	0.0189919
Sample-541	28.470	0.00000	0.005843	304	114.383	0.0596363
Sample-542	31.476	0.00000	0.007698	397	109.703	0.0540727
Sample-543	32.245	0.00000	0.007017	412	104.029	0.0441174
Sample-544	31.206	0.00000	0.005529	414	104.254	0.0409932
Sample-545	31.973	0.00000	0.006569	405	105.114	0.0481820
Sample-546	33.625	0.00000	0.004471	436	 56.851	0.0036441
Sample-547	31.526	0.00000	0.005789	396	 93.905	0.0415742
Sample-548	31.240	0.00000	0.008006	382	108.943	0.1003982
Sample-549	30.851	0.00000	0.005809	313	111.259	0.0629226
Sample-550	30.536	0.00000	0.006181	308	111.221	0.0558703
Sample-551	33.010	0.00000	0.005496	393	103.690	0.0517765
Sample-552	31.449	0.00000	0.005589	407	104.128	0.0443665
Sample-553	32.680	0.00000	0.007137	418	 92.418	0.0189913
Sample-554	31.379	0.00000	0.007676	420	 81.308	0.0034733
Sample-555	33.485	0.00000	0.004723	420	114.721	0.0547119
Sample-556	32.615	0.00000	0.004925	427	107.606	0.0434509
Sample-557	32.395	0.00000	0.001687	446	 51.631	0.0037502
Sample-558	29.925	0.00000	0.005914	407	 99.367	0.0429192
Sample-559	28.523	0.00000	0.005691	397	 95.919	0.0440917
Sample-560	30.393	0.00000	0.005746	396	101.948	0.0488177
Sample-561	35.007	0.00000	0.006955	401	 76.696	0.0058442
Sample-562	33.404	0.00000	0.009326	425	 53.271	0.0048316
Sample-563	30.241	0.00000	0.009996	423	109.267	0.0722962
Sample-564	30.543	0.00000	0.008780	407	 98.714	0.0611617
Sample-565	30.586	0.00000	0.007217	426	106.133	0.0494833
Sample-566	30.786	0.00032	0.006647	416	101.980	0.0615668
Sample-567	31.867	0.00039	0.007628	307	111.588	0.0984159
Sample-568	29.779	0.00000	0.005389	413	 76.006	0.0036231
Sample-569	35.916	0.00000	0.006219	428	 85.324	0.0050032
Sample-570	30.389	0.00000	0.010300	409	110.383	0.1287956
Sample-571	30.494	0.00000	0.011573	401	 92.829	0.0282844
Sample-572	31.992	0.00000	0.007271	403	 94.462	0.0404687
Sample-573	31.066	0.00000	0.006758	421	111.545	0.0465248
Sample-574	31.501	0.00000	0.014371	407	 77.723	0.0040712
Sample-575	31.729	0.00000	0.006872	294	115.853	0.0928730
Sample-576	31.086	0.00000	0.006391	447	 96.365	0.0106724
Sample-577	30.374	0.00000	0.011457	419	 84.777	0.0048562
Sample-578	32.075	0.00012	0.006791	389	110.985	0.0917645
Sample-579	29.949	0.00000	0.008905	430	 86.804	0.0085836
Sample-580	33.062	0.00007	0.007968	308	113.079	0.0873239
Sample-581	31.770	0.00000	0.007834	411	107.321	0.0672796
Sample-582	31.781	0.00000	0.004557	404	112.112	0.0832473
Sample-583	31.242	0.00000	0.006993	414	108.015	0.0804935
Sample-584	30.803	0.00000	0.007806	419	 97.825	0.0252013
Sample-585	30.509	0.00000	0.017206	394	 65.014	0.0044717
Sample-586	30.233	0.00000	0.007356	435	111.402	0.0615931
Sample-587	30.100	0.00000	0.016270	432	100.179	0.0191072
Sample-588	30.700	0.00000	0.005804	411	 91.680	0.0224922
Sample-589	32.192	0.00008	0.008115	434	 78.730	0.0054452
Sample-590	30.904	0.00000	0.008596	427	 90.866	0.0052865
Sample-591	29.863	0.00000	0.014007	410	 90.334	0.0045277
Sample-592	30.610	0.00000	0.010371	410	115.626	0.0828007
Sample-593	30.666	0.00000	0.007002	397	 96.334	0.0561219
Sample-594	29.644	0.00000	0.008241	423	 92.828	0.0052785
Sample-595	30.786	0.00000	0.011483	412	111.584	0.0665473
Sample-596	30.999	0.00000	0.006410	408	 91.691	0.0236499
Sample-597	32.749	0.00060	0.014493	246	109.311	2.2512313
Sample-598	31.419	0.00000	0.006811	292	116.511	0.0948936
Sample-599	30.007	0.00000	0.006194	419	103.703	0.0638910
Sample-600	32.325	0.00000	0.006947	296	114.564	0.0679359
Sample-601	31.287	0.00000	0.013652	297	114.603	0.0632579
Sample-602	36.782	0.00030	0.005249	397	104.498	0.2858169
Sample-603	29.712	0.00000	0.005767	413	100.959	0.0703958
Sample-604	31.420	0.00000	0.009535	417	 93.835	0.0185642
Sample-605	31.711	0.00000	0.009434	417	 73.438	0.0049159
Sample-606	34.935	0.00000	0.014620	413	 83.263	0.0048028
Sample-607	33.404	0.00000	0.005928	329	116.266	0.0721209
Sample-608	31.899	0.00000	0.006328	420	 95.869	0.0341947
Sample-609	31.024	0.00000	0.018968	413	 98.554	0.0590692
Sample-610	29.896	0.00000	0.009433	414	 94.754	0.0209416
Sample-611	31.741	0.00000	0.010053	370	113.511	0.0794386
Sample-612	32.081	0.00032	0.025978	328	110.367	0.0838842
Sample-613	29.839	0.00000	0.011462	421	 94.267	0.0230035
Sample-614	31.746	0.00000	0.005090	386	108.196	0.2079143
Sample-615	30.886	0.00027	0.007060	419	106.336	0.0584818
Sample-616	30.611	0.00027	0.007946	426	105.856	0.0643950
Sample-617	32.269	0.00037	0.009469	417	108.879	0.0778108
Sample-618	30.599	0.00000	0.009479	412	100.124	0.0509000
Sample-619	34.390	0.00000	0.005894	406	 82.404	0.0040440
Sample-620	32.204	0.00000	0.008862	399	101.638	0.0529684
Sample-621	30.531	0.00010	0.006555	421	 92.991	0.0076520
Sample-622	31.847	0.00000	0.006974	411	104.921	0.0657071
Sample-623	31.628	0.00000	0.008039	396	109.118	0.0821946
Sample-624	30.986	0.00000	0.005947	412	 93.070	0.0179184
Sample-625	31.155	0.00000	0.006424	412	110.744	0.0505558
Sample-626	31.041	0.00000	0.010438	407	110.676	0.0807768
Sample-627	32.581	0.00000	0.005895	403	 96.555	0.0573384
Sample-628	32.014	0.00000	0.008797	407	111.879	0.0798880
Sample-629	31.856	0.00000	0.005395	400	 96.812	0.0497693
Sample-630	30.116	0.00000	0.007509	421	 97.508	0.0531975
Sample-631	30.504	0.00000	0.008571	404	119.114	0.3887014
Sample-632	32.094	0.00000	0.007488	335	113.506	0.0951276
Sample-633	31.978	0.00009	0.005875	410	104.677	0.0612980
Sample-634	31.468	0.00000	0.007320	408	 78.299	0.0038505
Sample-635	30.350	0.00000	0.007001	436	 91.018	0.0052703
Sample-636	30.033	0.00000	0.004320	402	 77.482	0.0042610
Sample-637	29.727	0.00000	0.040562	434	 77.539	0.0054248
Sample-638	30.390	0.00075	0.011419	423	103.461	0.0455215
Sample-639	58.058	0.00000	0.005924	409	122.411	2.7356238
Sample-640	35.723	0.00462	0.007259	348	129.689	0.4231466
Sample-641	30.285	0.00000	0.008459	305	119.927	0.0905411
Sample-642	30.082	0.00034	0.006147	306	114.887	0.0615382
Sample-643	32.367	0.00017	0.006034	399	107.910	0.0821283
Sample-644	30.241	0.00040	0.003334	393	134.428	8.5964209
Sample-645	31.042	0.00000	0.007182	400	 96.530	0.0335754
Sample-646	32.475	0.00000	0.009943	415	115.868	0.0646645
Sample-647	31.658	0.00000	0.006221	401	102.136	0.0461985
Sample-648	41.246	0.00004	0.007524	392	106.667	1.9079887
Sample-649	35.600	0.00000	0.006603	421	 89.557	0.0031803
Sample-650	32.795	0.00000	0.007192	438	111.127	0.0712370
Sample-651	33.088	0.00000	0.006526	424	 81.301	0.0044164
Sample-652	34.609	0.00000	0.006819	440	 93.506	0.0051400
Sample-653	41.530	0.00063	0.003235	315	120.744	0.1014590
Sample-654	34.085	0.00000	0.006231	439	 77.506	0.0049726
Sample-655	31.354	0.00000	0.005922	419	 89.382	0.0069011
Sample-656	32.539	0.00000	0.005051	408	117.640	0.0881636
Sample-657	34.079	0.00128	0.002826	338	118.577	0.0884893
Sample-658	33.698	0.00000	0.003232	313	113.954	0.0875305
Sample-659	35.061	0.00000	0.005413	403	 72.494	0.0040154
Sample-660	34.826	0.00073	0.003861	374	107.558	0.0870143
